Fecha,Hora,T1,T2,T3,T4,T5,T6,T7,T8,Humedad,TempAmbiente,PuntoRocioGeneral,PuntoRocioC1,PuntoRocioC2,PuntoRocioC3,PuntoRocioC4,Gotas,mL,,,,,,,,,
16/10/2025,13:29:41,25.81,9.13,22.62,17.25,21.37,21.75,21.62,22.62,64.4,21.3,14.31,18.58,15.56,14.38,14.62,0,0,,,,,,,,,
16/10/2025,13:29:43,25.81,9.13,22.69,17.12,21.44,21.56,21.62,22.62,64.4,21.3,14.31,18.58,15.62,14.44,14.62,0,0,,,,,,,,,
16/10/2025,13:29:45,25.87,9.13,22.75,17,21.37,21.56,21.62,22.62,64.3,21.3,14.28,18.62,15.66,14.35,14.59,0,0,,,,,,,,,
16/10/2025,13:29:47,25.94,9.13,22.81,16.94,21.37,21.56,21.62,22.56,64.3,21.3,14.28,18.68,15.72,14.35,14.59,0,0,,,,,,,,,
16/10/2025,13:29:49,25.94,9.13,22.81,16.94,21.37,21.62,21.62,22.62,64.3,21.3,14.28,18.68,15.72,14.35,14.59,0,0,,,,,,,,,
16/10/2025,13:29:51,26,9.13,22.87,16.94,21.37,21.56,21.62,22.56,64.3,21.3,14.28,18.74,15.78,14.35,14.59,0,0,,,,,,,,,
16/10/2025,13:29:53,26,9.19,22.94,16.87,21.44,21.56,21.62,22.62,64.3,21.3,14.28,18.74,15.83,14.41,14.59,0,0,,,,,,,,,
16/10/2025,13:29:55,26.06,9.13,22.94,16.94,21.37,21.56,21.62,22.62,64.2,21.3,14.26,18.77,15.81,14.33,14.57,0,0,,,,,,,,,
16/10/2025,13:29:57,26.06,9.19,22.94,16.94,21.31,21.69,21.62,22.56,64.3,21.3,14.28,18.79,15.83,14.3,14.59,0,0,,,,,,,,,
16/10/2025,13:29:59,26.12,9.13,23,16.94,21.44,21.56,21.62,22.62,64.3,21.3,14.28,18.85,15.89,14.41,14.59,0,0,,,,,,,,,
16/10/2025,13:30:01,26.12,9.13,23,16.94,21.37,21.69,21.62,22.62,64.2,21.3,14.26,18.83,15.87,14.33,14.57,0,0,,,,,,,,,
16/10/2025,13:30:03,26.19,9.19,23.06,17,21.37,21.5,21.62,22.62,64.4,21.4,14.4,18.94,15.98,14.38,14.62,1,0.06,,,,,,,,,
16/10/2025,13:30:05,26.19,9.19,23,17.12,21.37,21.69,21.62,22.69,64.4,21.4,14.4,18.94,15.92,14.38,14.62,1,0.18,,,,,,,,,
16/10/2025,13:30:07,26.25,9.19,23.06,17.06,21.37,21.56,21.56,22.69,64.4,21.4,14.4,19,15.98,14.38,14.56,0,0.36,,,,,,,,,
16/10/2025,13:30:09,26.25,9.19,23.06,17.12,21.37,21.56,21.62,22.69,64.4,21.4,14.4,19,15.98,14.38,14.62,0,0.36,,,,,,,,,
16/10/2025,13:30:11,26.25,9.19,23.06,17.25,21.37,21.56,21.62,22.69,64.4,21.3,14.31,19,15.98,14.38,14.62,1,0.6,,,,,,,,,
16/10/2025,13:30:13,26.31,9.19,23.06,17.31,21.37,21.56,21.62,22.69,64.3,21.4,14.38,19.03,15.95,14.35,14.59,1,0.84,,,,,,,,,
16/10/2025,13:30:15,26.31,9.19,23.06,17.31,21.37,21.62,21.62,22.69,64.3,21.4,14.38,19.03,15.95,14.35,14.59,1,1.45,,,,,,,,,
16/10/2025,13:30:17,26.31,9.19,23.06,17.44,21.37,21.75,21.62,22.69,64.3,21.4,14.38,19.03,15.95,14.35,14.59,1,1.63,,,,,,,,,
16/10/2025,13:30:19,26.31,9.19,23.06,17.44,21.37,21.69,21.62,22.62,64.3,21.4,14.38,19.03,15.95,14.35,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:21,26.31,9.19,23,17.5,21.37,21.56,21.62,22.69,64.3,21.4,14.38,19.03,15.89,14.35,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:23,26.31,9.25,23,17.56,21.37,21.69,21.62,22.69,64.3,21.4,14.38,19.03,15.89,14.35,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:25,26.31,9.25,23.06,17.56,21.44,21.56,21.62,22.69,64.3,21.4,14.38,19.03,15.95,14.41,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:27,26.31,9.25,23,17.62,21.37,21.62,21.62,22.69,64.3,21.4,14.38,19.03,15.89,14.35,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:29,26.31,9.25,23,17.62,21.44,21.62,21.62,22.69,64.3,21.4,14.38,19.03,15.89,14.41,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:31,26.31,9.31,23,17.75,21.44,21.62,21.69,22.69,64.3,21.4,14.38,19.03,15.89,14.41,14.65,0,1.63,,,,,,,,,
16/10/2025,13:30:33,26.31,9.25,23,17.75,21.44,21.69,21.62,22.69,64.3,21.4,14.38,19.03,15.89,14.41,14.59,0,1.63,,,,,,,,,
16/10/2025,13:30:35,26.37,9.25,22.94,17.75,21.44,21.69,21.69,22.69,64.2,21.4,14.35,19.07,15.81,14.39,14.63,1,1.69,,,,,,,,,
16/10/2025,13:30:37,26.31,9.25,22.94,17.87,21.37,21.75,21.62,22.69,64.2,21.4,14.35,19.01,15.81,14.33,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:39,26.31,9.31,22.94,17.87,21.37,21.62,21.62,22.69,64.2,21.4,14.35,19.01,15.81,14.33,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:41,26.31,9.31,22.94,17.87,21.44,21.75,21.62,22.69,64.2,21.4,14.35,19.01,15.81,14.39,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:43,26.25,9.25,22.94,18,21.44,21.75,21.62,22.69,64.2,21.4,14.35,18.95,15.81,14.39,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:45,26.25,9.31,22.94,18,21.37,21.62,21.62,22.69,64.2,21.4,14.35,18.95,15.81,14.33,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:47,26.25,9.31,22.87,18,21.44,21.75,21.62,22.69,64.2,21.4,14.35,18.95,15.75,14.39,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:49,26.25,9.31,22.87,18.06,21.44,21.81,21.62,22.69,64.2,21.4,14.35,18.95,15.75,14.39,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:51,26.25,9.31,22.87,18.06,21.37,21.56,21.62,22.69,64.2,21.4,14.35,18.95,15.75,14.33,14.57,0,1.69,,,,,,,,,
16/10/2025,13:30:53,26.25,9.31,22.81,18.12,21.37,21.62,21.69,22.69,64.2,21.4,14.35,18.95,15.69,14.33,14.63,0,1.69,,,,,,,,,
16/10/2025,13:30:55,26.25,9.31,22.81,18.12,21.44,21.56,21.69,22.69,64.2,21.4,14.35,18.95,15.69,14.39,14.63,0,1.69,,,,,,,,,
16/10/2025,13:30:57,26.19,9.25,22.81,18.19,21.44,21.56,21.69,22.69,64.2,21.4,14.35,18.89,15.69,14.39,14.63,0,1.69,,,,,,,,,
16/10/2025,13:30:59,26.19,9.31,22.75,18.25,21.44,21.62,21.62,22.69,64.1,21.5,14.42,18.86,15.61,14.37,14.54,0,1.69,,,,,,,,,
16/10/2025,13:31:01,26.19,9.31,22.75,18.25,21.44,21.56,21.62,22.75,64.2,21.4,14.35,18.89,15.63,14.39,14.57,0,1.69,,,,,,,,,
16/10/2025,13:31:03,26.19,9.31,22.75,18.31,21.37,21.75,21.62,22.69,64.2,21.4,14.35,18.89,15.63,14.33,14.57,0,1.69,,,,,,,,,
16/10/2025,13:31:05,26.12,9.31,22.75,18.37,21.44,21.62,21.62,22.69,64.1,21.4,14.33,18.8,15.61,14.37,14.54,0,1.69,,,,,,,,,
16/10/2025,13:31:07,26.12,9.31,22.69,18.31,21.44,21.62,21.62,22.69,64.1,21.5,14.42,18.8,15.55,14.37,14.54,0,1.69,,,,,,,,,
16/10/2025,13:31:09,26.12,9.31,22.69,18.37,21.37,21.62,21.62,22.69,64.1,21.5,14.42,18.8,15.55,14.31,14.54,0,1.69,,,,,,,,,
16/10/2025,13:31:11,26.12,9.31,22.69,18.37,21.44,21.56,21.69,22.69,64.1,21.5,14.42,18.8,15.55,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:13,26.12,9.31,22.62,18.44,21.44,21.62,21.69,22.69,64.1,21.4,14.33,18.8,15.49,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:15,26.06,9.31,22.62,18.44,21.44,21.62,21.69,22.75,64.1,21.5,14.42,18.74,15.49,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:17,26.06,9.31,22.62,18.44,21.44,21.62,21.69,22.75,64.1,21.5,14.42,18.74,15.49,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:19,26.06,9.31,22.62,18.5,21.44,21.62,21.69,22.69,64.1,21.5,14.42,18.74,15.49,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:21,26,9.38,22.62,18.5,21.5,21.62,21.62,22.75,64.1,21.5,14.42,18.69,15.49,14.42,14.54,0,1.69,,,,,,,,,
16/10/2025,13:31:23,26,9.38,22.56,18.56,21.44,21.69,21.69,22.69,64.1,21.5,14.42,18.69,15.43,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:25,26,9.31,22.56,18.56,21.44,21.69,21.69,22.75,64.1,21.5,14.42,18.69,15.43,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:27,26,9.31,22.56,18.62,21.44,21.75,21.69,22.75,64.1,21.5,14.42,18.69,15.43,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:29,26,9.31,22.56,18.62,21.44,21.62,21.69,22.69,64.1,21.5,14.42,18.69,15.43,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:31,26,9.31,22.5,18.69,21.44,21.81,21.69,22.69,64.1,21.5,14.42,18.69,15.37,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:33,25.94,9.31,22.5,18.69,21.44,21.62,21.69,22.75,64.1,21.5,14.42,18.63,15.37,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:35,25.94,9.31,22.5,18.69,21.44,21.69,21.69,22.69,64.1,21.5,14.42,18.63,15.37,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:37,25.94,9.31,22.5,18.75,21.44,21.75,21.69,22.75,64.1,21.5,14.42,18.63,15.37,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:39,25.94,9.38,22.44,18.75,21.44,21.69,21.69,22.69,64.1,21.5,14.42,18.63,15.31,14.37,14.6,0,1.69,,,,,,,,,
16/10/2025,13:31:41,25.87,9.31,22.5,18.75,21.44,21.62,21.69,22.75,64,21.5,14.4,18.54,15.35,14.34,14.58,0,1.69,,,,,,,,,
16/10/2025,13:31:43,25.87,9.38,22.44,18.81,21.44,21.81,21.62,22.75,64,21.5,14.4,18.54,15.29,14.34,14.52,0,1.69,,,,,,,,,
16/10/2025,13:31:45,25.87,9.38,22.44,18.75,21.44,21.62,21.69,22.75,63.9,21.5,14.38,18.52,15.26,14.32,14.55,0,1.69,,,,,,,,,
16/10/2025,13:31:47,25.81,9.38,22.37,18.87,21.44,21.75,21.62,22.75,63.9,21.5,14.38,18.46,15.2,14.32,14.49,0,1.69,,,,,,,,,
16/10/2025,13:31:49,25.81,9.38,22.37,18.87,21.5,21.56,21.56,22.81,64,21.5,14.4,18.48,15.23,14.4,14.46,0,1.69,,,,,,,,,
16/10/2025,13:31:51,25.81,9.31,22.37,18.87,21.5,21.62,21.62,22.81,64,21.5,14.4,18.48,15.23,14.4,14.52,0,1.69,,,,,,,,,
16/10/2025,13:31:53,25.81,9.31,22.31,18.94,21.5,21.75,21.56,22.81,64,21.5,14.4,18.48,15.17,14.4,14.46,0,1.69,,,,,,,,,
16/10/2025,13:31:55,25.81,9.38,22.31,18.87,21.5,21.56,21.62,22.81,64,21.5,14.4,18.48,15.17,14.4,14.52,0,1.69,,,,,,,,,
16/10/2025,13:31:57,25.81,9.38,22.31,18.94,21.5,21.75,21.62,22.81,64,21.5,14.4,18.48,15.17,14.4,14.52,0,1.69,,,,,,,,,
16/10/2025,13:31:59,25.81,9.38,22.31,18.94,21.44,21.75,21.56,22.81,63.9,21.5,14.38,18.46,15.15,14.32,14.44,0,1.69,,,,,,,,,
16/10/2025,13:32:01,25.75,9.38,22.31,19,21.44,21.75,21.62,22.81,63.8,21.5,14.35,18.37,15.12,14.29,14.47,0,1.69,,,,,,,,,
16/10/2025,13:32:03,25.81,9.31,22.25,19,21.5,21.75,21.62,22.81,63.8,21.5,14.35,18.43,15.06,14.35,14.47,0,1.69,,,,,,,,,
16/10/2025,13:32:05,25.75,9.38,22.25,19.06,21.44,21.75,21.62,22.75,63.9,21.5,14.38,18.4,15.09,14.32,14.49,0,1.69,,,,,,,,,
16/10/2025,13:32:07,25.75,9.38,22.25,19,21.44,21.75,21.56,22.75,63.9,21.5,14.38,18.4,15.09,14.32,14.44,0,1.69,,,,,,,,,
16/10/2025,13:32:10,25.75,9.38,22.25,19,21.5,21.75,21.56,22.81,63.8,21.5,14.35,18.37,15.06,14.35,14.41,0,1.69,,,,,,,,,
16/10/2025,13:32:12,25.75,9.38,22.25,19.06,21.44,21.75,21.62,22.81,63.8,21.5,14.35,18.37,15.06,14.29,14.47,0,1.69,,,,,,,,,
16/10/2025,13:32:14,25.75,9.38,22.19,19.06,21.5,21.75,21.62,22.75,63.8,21.5,14.35,18.37,15,14.35,14.47,0,1.69,,,,,,,,,
16/10/2025,13:32:16,25.69,9.38,22.19,19.12,21.5,21.75,21.62,22.81,63.8,21.5,14.35,18.31,15,14.35,14.47,0,1.69,,,,,,,,,
16/10/2025,13:32:18,25.75,9.31,22.19,19.06,21.5,21.75,21.62,22.81,63.7,21.5,14.33,18.35,14.98,14.33,14.45,0,1.69,,,,,,,,,
16/10/2025,13:32:20,25.69,9.38,22.19,19.06,21.5,21.69,21.62,22.75,63.7,21.5,14.33,18.29,14.98,14.33,14.45,0,1.69,,,,,,,,,
16/10/2025,13:32:22,25.69,9.38,22.19,19.12,21.5,21.69,21.62,22.81,63.7,21.5,14.33,18.29,14.98,14.33,14.45,0,1.69,,,,,,,,,
16/10/2025,13:32:24,25.69,9.38,22.12,19.12,21.56,21.69,21.62,22.81,63.7,21.5,14.33,18.29,14.92,14.39,14.45,0,1.69,,,,,,,,,
